A,f,misfit
1.250000000000000000e+00,2.060000000000000497e+00,4.517445973046277374e-01
1.250000000000000000e+00,2.095000000000000195e+00,4.534075825457622444e-01
1.250000000000000000e+00,2.129999999999999893e+00,4.544073783912799813e-01
1.250000000000000000e+00,2.165000000000000036e+00,4.557742273150824364e-01
1.250000000000000000e+00,2.200000000000000178e+00,4.565112567124749998e-01
1.300000000000000044e+00,8.000000000000000444e-01,4.678229700568799498e-01
1.300000000000000044e+00,8.350000000000000755e-01,4.674637892892732349e-01
1.300000000000000044e+00,8.700000000000001066e-01,4.664307656296747262e-01
1.300000000000000044e+00,9.050000000000000266e-01,4.656773152162718699e-01
1.300000000000000044e+00,9.400000000000000577e-01,4.646290617795895139e-01
1.300000000000000044e+00,9.750000000000000888e-01,4.626253681652812699e-01
1.300000000000000044e+00,1.010000000000000009e+00,4.600576699150222271e-01
1.300000000000000044e+00,1.045000000000000151e+00,4.564929966504697179e-01
1.300000000000000044e+00,1.080000000000000071e+00,4.532709646591525088e-01
1.300000000000000044e+00,1.115000000000000213e+00,4.506550150424911694e-01
1.300000000000000044e+00,1.150000000000000133e+00,4.459451141293558352e-01
1.300000000000000044e+00,1.185000000000000053e+00,4.397554439262755799e-01
1.300000000000000044e+00,1.220000000000000195e+00,4.317623307554915302e-01
1.300000000000000044e+00,1.255000000000000115e+00,4.186950290917250128e-01
1.300000000000000044e+00,1.290000000000000036e+00,4.013050706114439925e-01
1.300000000000000044e+00,1.325000000000000178e+00,3.764910077458115123e-01
1.300000000000000044e+00,1.360000000000000098e+00,3.371222146525116314e-01
1.300000000000000044e+00,1.395000000000000018e+00,2.796395669280231644e-01
1.300000000000000044e+00,1.430000000000000160e+00,1.939334159685078551e-01
1.300000000000000044e+00,1.465000000000000080e+00,9.206656853213873726e-02
1.300000000000000044e+00,1.500000000000000000e+00,4.294076882756533986e-02
1.300000000000000044e+00,1.535000000000000142e+00,9.348421257873186507e-02
1.300000000000000044e+00,1.570000000000000062e+00,1.949855020545870898e-01
1.300000000000000044e+00,1.604999999999999982e+00,2.802832982633742254e-01
1.300000000000000044e+00,1.640000000000000124e+00,3.373270024259397704e-01
1.300000000000000044e+00,1.675000000000000266e+00,3.753809322356169154e-01
1.300000000000000044e+00,1.710000000000000187e+00,3.995512011656956464e-01
1.300000000000000044e+00,1.745000000000000107e+00,4.172037799083457288e-01
1.300000000000000044e+00,1.780000000000000249e+00,4.303804403167427184e-01
1.300000000000000044e+00,1.815000000000000169e+00,4.384974144396827644e-01
1.300000000000000044e+00,1.850000000000000089e+00,4.446713358592935261e-01
1.300000000000000044e+00,1.885000000000000231e+00,4.491827281732815313e-01
1.300000000000000044e+00,1.920000000000000151e+00,4.517627952955490245e-01
1.300000000000000044e+00,1.955000000000000071e+00,4.542020345507906676e-01
1.300000000000000044e+00,1.990000000000000213e+00,4.563829608234045709e-01
1.300000000000000044e+00,2.025000000000000355e+00,4.588224951056947831e-01
1.300000000000000044e+00,2.060000000000000497e+00,4.618517012008940825e-01
1.300000000000000044e+00,2.095000000000000195e+00,4.635817577627260877e-01
